方向,类型,总额(USD),数量(BTC),单价(USD),状态,订单号
买入,限价,4061.34,0.04864,83498.0,开仓,262079807190
买入,限价,4086.98,0.04864,84025.0,开仓,262079787133
买入,限价,4125.45,0.04864,84816.0,开仓,262079714925
买入,限价,4115.42,0.048,85738.0,开仓,262079667578
买入,限价,3519.83,0.04053,86845.0,开仓,262079588365
买入,限价,3410.63,0.04109,83004.0,开仓,259679368718
买入,限价,12335.28,0.15605,79047.0,开仓,259672023289
买入,限价,12253.83,0.15151,80878.0,开仓,259671962440
买入,限价,24443.39,0.33638,72666.0,开仓,243794018278
买入,限价,24369.26,0.32524,74927.0,开仓,243793599714
买入,限价,24443.48,0.33141,73756.0,开仓,243793402307
买入,限价,24443.79,0.32097,76156.0,开仓,243792679683
买入,限价,12221.32,0.15817,77267.0,开仓,243792113638
